year,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_per_capita,homicide_per_capita,rape_legacy_per_capita,rape_revised_per_capita,robbery_per_capita,aggravated_assault_per_capita,property_crime_per_capita,burglary_per_capita,larceny_per_capita,motor_vehicle_theft_per_capita,arson_per_capita
2006,299398484,1435123,17309,94472,,449246,874096,10019601,2194993,6626363,1198245,72969,0.004793354264278773,5.781258398088616e-05,0.00031553933987187456,,0.0015004952396485748,0.0029195071007774376,0.03346577065500438,0.007331343067188009,0.02213225301434726,0.004002174573469116,0.00024371866892953272
2007,301621157,1422970,17128,92160,,447324,866358,9882212,2190198,6591542,1100472,68091,0.004717739346116227,5.678646740288182e-05,0.0003055488577679582,,0.0014830657253927316,0.002872338295552656,0.032763656562725806,0.007261420325365306,0.02185371233755993,0.00364852389980057,0.00022575007893096835
2008,304059724,1394461,16465,90750,,443563,843683,9774152,2228887,6586206,959059,65790,0.004586141767332526,5.415054576580488e-05,0.0002984611010171147,,0.0014588022187377897,0.0027747279018118165,0.03214550046753315,0.007330424992426816,0.021660895804799192,0.00315417967030714,0.0002163719651340603
2009,307006550,1325896,15399,89241,,408742,812514,9337060,2203313,6338095,795652,59862,0.004318787335319067,5.015853896276806e-05,0.00029068109458902427,,0.0013313787604857291,0.002646568941281546,0.03041322733993786,0.007176762189601492,0.020644820118658706,0.0025916450316776627,0.00019498606788682522
2010,309330219,1251248,14722,85593,,369089,781844,9112625,2168459,6204601,739565,55987,0.004045023483463799,4.759315157630946e-05,0.0002767042944485162,,0.00119318765943136,0.002527538378007614,0.02945921361792331,0.007010175103519388,0.020058179314191092,0.0023908592002128315,0.00018099427912667012
2011,311587816,1206031,14661,84175,,354772,752423,9052743,2185140,6151095,716508,54548,0.0038705974305490816,4.7052545854360365e-05,0.00027014856062279407,,0.0011385939429672694,0.002414802381104658,0.029053584688305014,0.007012918630939022,0.01974112813191643,0.0022995379254495624,0.00017506461164065542
2012,313873685,1217057,14856,85141,,355051,762009,9001992,2109932,6168874,723186,55349,0.0038775375514516295,4.733114214401249e-05,0.00027125880272505166,,0.0011311907208786873,0.002427756885703878,0.028680301758970333,0.006722232862560619,0.0196540018956989,0.0023040670007108115,0.00017634163883474335
2013,316497531,1168298,14319,82109,113695,345093,726777,8651892,1932139,6019465,700288,47219,0.0036913336932160776,4.5242059092081825e-05,0.00025943014386421866,0.00035922871069727236,0.0010903497379889514,0.0022963117522708256,0.027336364908325302,0.006104752204212298,0.019018995127642876,0.0022126175764701304,0.00014919231708003435
2014,318907401,1153022,14164,84864,118027,322905,731089,8209010,1713153,5809054,686803,46220,0.003615538543114589,4.4414146412362505e-05,0.0002661085936980183,0.00037009802729539036,0.0010125352970406605,0.002292480505963548,0.02574104575265094,0.005371944942726494,0.018215488200601527,0.0021536126093229177,0.000144932352949689
2015,320896618,1199310,15883,91261,126134,328109,764057,8024115,1587564,5723488,713063,44023,0.003737371890905999,4.9495691475314954e-05,0.00028439377319956674,0.0003930674021625245,0.0010224757183324381,0.002381006707898679,0.025005296254010382,0.00494727557396694,0.0178359249644694,0.002222095715574042,0.0001371874850983939
2016,323405935,1285606,17413,96970,132414,332797,802982,7928530,1516405,5644835,767290,45775,0.003975208432708571,5.384254930262798e-05,0.000299839890074992,0.00040943589980808485,0.0010290380106969899,0.0024828919729008685,0.024515722013574055,0.00468885952881477,0.017454333359714008,0.002372529125045278,0.0001415403832956869
2017,325147121,1283875,17294,,135666,320596,810319,7682988,1397045,5513000,772943,42961,0.003948597164420226,5.318823044415023e-05,,0.00041724496770186687,0.0009860028869823516,0.002492161079291857,0.023629266580527403,0.004296654990219028,0.016955401551902408,0.0023772100384059683,0.00013212788065867573
2018,327167434,1245065,16214,,139380,282061,807410,7196045,1230149,5217055,748841,37835,0.003805589648021019,4.9558722277963644e-05,,0.00042602039663886595,0.0008621304282992909,0.0024678801008048987,0.021994991714242563,0.0037599983132795547,0.015946131728991095,0.0022888616719719114,0.00011564415057276147
